Last Updated: 2026-03-07 00:47:32
Card Name	Set Code	Set Number	SKU	Rarity	Price (USD)
Gloomlake Verge	DSK	260	DSK260	Rare	$16.34
Grab the Prize	DSK	138	DSK138	Common	$0.35
Grand Entryway // Elegant Rotunda	DSK	15	DSK015	Common	$0.13
Grasping Longneck	DSK	180	DSK180	Common	$0.06
Greenhouse // Rickety Gazebo	DSK	181	DSK181	Uncommon	$0.23
Gremlin Tamer	DSK	215	DSK215	Uncommon	$0.25
Grievous Wound	DSK	102	DSK102	Rare	$0.43
Growing Dread	DSK	216	DSK216	Uncommon	$0.15
Hand That Feeds	DSK	139	DSK139	Common	$0.06
Hardened Escort	DSK	16	DSK016	Common	$0.07
Haunted Screen	DSK	250	DSK250	Uncommon	$0.09
Hauntwoods Shrieker	DSK	182	DSK182	Mythic	$1.12
Hedge Shredder	DSK	183	DSK183	Rare	$2.66
Horrid Vigor	DSK	184	DSK184	Common	$0.21
House Cartographer	DSK	185	DSK185	Uncommon	$0.16
Hushwood Verge	DSK	261	DSK261	Rare	$8.16
Impossible Inferno	DSK	140	DSK140	Common	$0.05
Infernal Phantom	DSK	141	DSK141	Uncommon	$0.09
Innocuous Rat	DSK	103	DSK103	Common	$0.26
Inquisitive Glimmer	DSK	217	DSK217	Uncommon	$0.28
Insidious Fungus	DSK	186	DSK186	Uncommon	$0.42
Intruding Soulrager	DSK	218	DSK218	Uncommon	$0.06
Irreverent Gremlin	DSK	142	DSK142	Uncommon	$0.28
Island	DSK	279	DSK279	Common	$0.17
Jump Scare	DSK	17	DSK017	Common	$0.15
Kaito, Bane of Nightmares	DSK	220	DSK220	Mythic	$20.55
Keys to the House	DSK	251	DSK251	Uncommon	$0.21
Killer's Mask	DSK	104	DSK104	Uncommon	$0.06
Kona, Rescue Beastie	DSK	187	DSK187	Rare	$1.21
Lakeside Shack	DSK	262	DSK262	Common	$0.18
Let's Play a Game	DSK	105	DSK105	Uncommon	$0.28
Leyline of Hope	DSK	18	DSK018	Rare	$0.57
Leyline of Mutation	DSK	188	DSK188	Rare	$0.34
Leyline of Resonance	DSK	143	DSK143	Rare	$0.64
Leyline of the Void	DSK	106	DSK106	Rare	$0.54
Leyline of Transformation	DSK	63	DSK063	Rare	$0.40
Lionheart Glimmer	DSK	19	DSK019	Uncommon	$0.24
Live or Die	DSK	107	DSK107	Uncommon	$0.22
Living Phone	DSK	20	DSK020	Common	$0.13
Malevolent Chandelier	DSK	252	DSK252	Common	$0.07
Manifest Dread	DSK	189	DSK189	Common	$0.09
Marina Vendrell	DSK	221	DSK221	Rare	$0.31
Marina Vendrell's Grimoire	DSK	64	DSK064	Rare	$0.28
Marvin, Murderous Mimic	DSK	253	DSK253	Rare	$2.65
Meathook Massacre II	DSK	108	DSK108	Mythic	$2.00
Meat Locker // Drowned Diner	DSK	65	DSK065	Common	$0.15
Miasma Demon	DSK	109	DSK109	Uncommon	$0.07
Midnight Mayhem	DSK	222	DSK222	Uncommon	$0.13
Mirror Room // Fractured Realm	DSK	67	DSK067	Mythic	$2.24
Moldering Gym // Weight Room	DSK	190	DSK190	Common	$0.15
Monstrous Emergence	DSK	191	DSK191	Common	$0.09
Most Valuable Slayer	DSK	144	DSK144	Common	$0.05
Mountain	DSK	283	DSK283	Common	$0.15
Murder	DSK	110	DSK110	Common	$0.24
Murky Sewer	DSK	263	DSK263	Common	$0.20
Nashi, Searcher in the Dark	DSK	223	DSK223	Rare	$0.27
Neglected Manor	DSK	264	DSK264	Common	$0.20
Niko, Light of Hope	DSK	224	DSK224	Mythic	$0.41
Norin, Swift Survivalist	DSK	145	DSK145	Uncommon	$0.14
Nowhere to Run	DSK	111	DSK111	Uncommon	$0.82
Oblivious Bookworm	DSK	225	DSK225	Uncommon	$0.19
Omnivorous Flytrap	DSK	192	DSK192	Rare	$0.24
Optimistic Scavenger	DSK	21	DSK021	Uncommon	$0.29
Orphans of the Wheat	DSK	22	DSK022	Uncommon	$0.05
Osseous Sticktwister	DSK	112	DSK112	Uncommon	$0.19
Overgrown Zealot	DSK	193	DSK193	Uncommon	$0.21
Overlord of the Balemurk	DSK	113	DSK113	Mythic	$26.78
Overlord of the Boilerbilges	DSK	146	DSK146	Mythic	$1.93
Overlord of the Floodpits	DSK	68	DSK068	Mythic	$3.48
Overlord of the Hauntwoods	DSK	194	DSK194	Mythic	$10.35
Overlord of the Mistmoors	DSK	23	DSK023	Mythic	$3.00
Painter's Studio // Defaced Gallery	DSK	147	DSK147	Uncommon	$0.13
Paranormal Analyst	DSK	69	DSK069	Uncommon	$0.22
Patched Plaything	DSK	24	DSK024	Uncommon	$0.10
Patchwork Beastie	DSK	195	DSK195	Uncommon	$0.18
Peculiar Lighthouse	DSK	265	DSK265	Common	$0.18
Peer Past the Veil	DSK	226	DSK226	Rare	$0.14
Piggy Bank	DSK	148	DSK148	Uncommon	$0.28
Piranha Fly	DSK	70	DSK070	Common	$0.03
Plains	DSK	277	DSK277	Common	$0.14
Popular Egotist	DSK	114	DSK114	Uncommon	$0.21
Possessed Goat	DSK	25	DSK025	Common	$0.08
Pyroclasm	DSK	149	DSK149	Uncommon	$0.32
Ragged Playmate	DSK	150	DSK150	Common	$0.22
Rampaging Soulrager	DSK	151	DSK151	Common	$0.04
Raucous Carnival	DSK	266	DSK266	Common	$0.13
Razorkin Hordecaller	DSK	152	DSK152	Uncommon	$0.14
Razorkin Needlehead	DSK	153	DSK153	Rare	$7.58
Razortrap Gorge	DSK	267	DSK267	Common	$0.24
Reluctant Role Model	DSK	26	DSK026	Rare	$0.33
Restricted Office // Lecture Hall	DSK	227	DSK227	Rare	$0.33
Resurrected Cultist	DSK	115	DSK115	Common	$0.05
Ripchain Razorkin	DSK	154	DSK154	Common	$0.04
Rip, Spawn Hunter	DSK	228	DSK228	Rare	$0.25
Rite of the Moth	DSK	229	DSK229	Uncommon	$0.17
Roaring Furnace // Steaming Sauna	DSK	230	DSK230	Rare	$0.37
Rootwise Survivor	DSK	196	DSK196	Uncommon	$0.08
Savior of the Small	DSK	27	DSK027	Uncommon	$0.05
Saw	DSK	254	DSK254	Uncommon	$0.21
Sawblade Skinripper	DSK	231	DSK231	Uncommon	$0.14
Say Its Name	DSK	197	DSK197	Common	$0.05
Scorching Dragonfire	DSK	156	DSK156	Common	$0.09
Scrabbling Skullcrab	DSK	71	DSK071	Uncommon	$0.19
Screaming Nemesis	DSK	157	DSK157	Mythic	$7.47
Seized from Slumber	DSK	28	DSK028	Common	$0.13
Shardmage's Rescue	DSK	29	DSK029	Uncommon	$0.19
Sheltered by Ghosts	DSK	30	DSK030	Uncommon	$4.39
Shepherding Spirits	DSK	31	DSK031	Common	$0.14
Shrewd Storyteller	DSK	232	DSK232	Uncommon	$0.08
Shroudstomper	DSK	233	DSK233	Uncommon	$0.34
Silent Hallcreeper	DSK	72	DSK072	Rare	$2.18
Skullsnap Nuisance	DSK	234	DSK234	Uncommon	$0.19
Slavering Branchsnapper	DSK	198	DSK198	Common	$0.18
Smoky Lounge // Misty Salon	DSK	235	DSK235	Uncommon	$0.22
Spectral Snatcher	DSK	116	DSK116	Common	$0.10
Spineseeker Centipede	DSK	199	DSK199	Common	$0.09
Splitskin Doll	DSK	33	DSK033	Uncommon	$0.26
Split Up	DSK	32	DSK032	Rare	$1.83
Sporogenic Infection	DSK	117	DSK117	Uncommon	$0.14
Stalked Researcher	DSK	73	DSK073	Common	$0.03
Stay Hidden, Stay Silent	DSK	74	DSK074	Uncommon	$0.06
Strangled Cemetery	DSK	268	DSK268	Common	$0.19
Surgical Suite // Hospital Room	DSK	34	DSK034	Uncommon	$0.21
Swamp	DSK	281	DSK281	Common	$0.14
Terramorphic Expanse	DSK	269	DSK269	Common	$0.18
The Jolly Balloon Man	DSK	219	DSK219	Rare	$0.82
The Mindskinner	DSK	66	DSK066	Rare	$2.56
The Rollercrusher Ride	DSK	155	DSK155	Mythic	$0.47
The Swarmweaver	DSK	236	DSK236	Rare	$0.29
The Tale of Tamiyo	DSK	75	DSK075	Rare	$0.20
The Wandering Rescuer	DSK	41	DSK041	Mythic	$2.15
Thornspire Verge	DSK	270	DSK270	Rare	$6.20
Threats Around Every Corner	DSK	200	DSK200	Uncommon	$0.28
Ticket Booth // Tunnel of Hate	DSK	158	DSK158	Common	$0.11
Toby, Beastie Befriender	DSK	35	DSK035	Rare	$0.35
Trapped in the Screen	DSK	36	DSK036	Common	$0.13
Trial of Agony	DSK	159	DSK159	Uncommon	$0.09
Tunnel Surveyor	DSK	76	DSK076	Common	$0.05
Turn Inside Out	DSK	160	DSK160	Common	$0.18
Twist Reality	DSK	77	DSK077	Common	$0.15
Twitching Doll	DSK	201	DSK201	Rare	$1.38
Tyvar, the Pummeler	DSK	202	DSK202	Mythic	$5.17
Unable to Scream	DSK	78	DSK078	Common	$0.29
Undead Sprinter	DSK	237	DSK237	Rare	$0.27
Under the Skin	DSK	203	DSK203	Uncommon	$0.13
Underwater Tunnel // Slimy Aquarium	DSK	79	DSK079	Common	$0.13
Unholy Annex // Ritual Chamber	DSK	118	DSK118	Rare	$1.70
Unidentified Hovership	DSK	37	DSK037	Rare	$0.25
Unnerving Grasp	DSK	80	DSK080	Uncommon	$0.06
Unsettling Twins	DSK	38	DSK038	Common	$0.10
Unstoppable Slasher	DSK	119	DSK119	Rare	$4.67
Untimely Malfunction	DSK	161	DSK161	Uncommon	$6.08
Unwanted Remake	DSK	39	DSK039	Uncommon	$0.29
Unwilling Vessel	DSK	81	DSK081	Uncommon	$0.08
Valgavoth's Faithful	DSK	121	DSK121	Uncommon	$0.27
Valgavoth's Lair	DSK	271	DSK271	Rare	$0.70
Valgavoth's Onslaught	DSK	204	DSK204	Rare	$0.22
Valgavoth, Terror Eater	DSK	120	DSK120	Mythic	$14.66
Vanish from Sight	DSK	82	DSK082	Common	$0.04
Vengeful Possession	DSK	162	DSK162	Uncommon	$0.21
Veteran Survivor	DSK	40	DSK040	Uncommon	$0.23
Vicious Clown	DSK	163	DSK163	Common	$0.07
Victor, Valgavoth's Seneschal	DSK	238	DSK238	Rare	$0.27
Vile Mutilator	DSK	122	DSK122	Uncommon	$0.17
Violent Urge	DSK	164	DSK164	Uncommon	$0.26
Walk-In Closet // Forgotten Cellar	DSK	205	DSK205	Mythic	$7.02
Waltz of Rage	DSK	165	DSK165	Rare	$0.28
Wary Watchdog	DSK	206	DSK206	Common	$0.16
Wickerfolk Thresher	DSK	207	DSK207	Uncommon	$0.22
Wildfire Wickerfolk	DSK	239	DSK239	Uncommon	$0.17
Winter, Misanthropic Guide	DSK	240	DSK240	Rare	$0.23
Winter's Intervention	DSK	123	DSK123	Common	$0.06
Withering Torment	DSK	124	DSK124	Uncommon	$3.80
Zimone, All-Questioning	DSK	241	DSK241	Rare	$0.21
